id,book_author_full_name
1,Серова Марина Сергеевна
2,Донцова Дарья Аркадьевна
3,Леонов Николай Иванович
4,Никитин Юрий Александрович
5,Абдуллаев Чингиз Акифович
6,Калинина Дарья Александровна
7,Полякова Татьяна Викторовна
8,Шукшин Василий Макарович
9,Вебб Холли
10,Гаррисон Гарри
11,Кинг Стивен
12,Незнанский Фридрих Евсеевич
13,Аксенов Василий Павлович
14,Калугин Алексей Александрович
15,Рубина Дина Ильинична
16,Пушкин Александр Сергеевич
17,Романова Галина Владимировна
18,Пронин Виктор Алексеевич
19,Шекли Роберт
20,Головачев Василий Васильевич
21,Емец Дмитрий Александрович
22,Чехов Антон Павлович
23,Акунин Борис
24,Успенский Эдуард Николаевич
25,Вильмонт Екатерина Николаевна
26,Лондон Джек
27,Толстой Лев Николаевич
28,Колычев Владимир Григорьевич
29,Щербакова Галина Николаевна
30,Ливадный Андрей Львович
31,Леонтьев Антон Валерьевич
32,Устинова Татьяна Витальевна
33,Жукова-Гладкова Мария Вадимовна
34,Тэффи Надежда Александровна
35,Робертс Нора
36,Дойл Артур Конан
37,Дик Филип Киндред
38,Пелевин Виктор Олегович
39,Громов Александр Николаевич
40,Шевчук Денис Александрович
41,Кристи Агата
42,Арсеньева Елена Арсентьевна
43,Михалкова Елена Ивановна
44,Сухов Евгений Евгеньевич
45,Картленд Барбара
46,Мураками Харуки
47,Пратчетт Терри
48,Лукьяненко Сергей Васильевич
49,Селезнев Александр Анатольевич
50,Носов Николай Николаевич
51,Рой Олег Юрьевич
52,Куликова Галина Михайловна
53,Дюма Александр
54,Достоевский Федор Михайлович
55,Соболева Лариса Павловна
56,Маканин Владимир Семенович
57,Гейман Нил
58,Вербер Бернар
59,Дудников Николай Федорович
60,Пикуль Валентин Саввич
61,Лапцуй Леонид Васильевич
62,Шалыгин Вячеслав Владимирович
63,Афанасьев Юрий Николаевич
64,Галяутдин Идрис
65,Ролинг Джоан Кэтлин
66,Литвак Михаил Ефимович
67,Омельчук Анатолий Константинович
68,Гоголь Николай Васильевич
69,Линдгрен Астрид
70,Стил Даниэла
71,Пляцковский Михаил Спартакович
72,Исаев Алексей Валерьевич
73,Беляев Александр Романович
74,Булгаков Михаил Афанасьевич
75,По Эдгар Аллан
76,Павлищева Наталья Павловна
77,Карамзин Николай Михайлович
78,Литвинова Анна Витальевна
79,Куприн Александр Иванович
80,Радзинский Эдвард Станиславович
81,Злотников Роман Валерьевич
82,Хмелевская Иоанна
83,Коэльо Пауло
84,Хрусталева Ирина
85,Бианки Виталий Валентинович
86,Аверченко Аркадий Тимофеевич
87,Фрай Макс
88,Маринина Александра Борисовна
89,Дивов Олег Игоревич
90,Луганцева Татьяна Игоревна
91,Тургенев Иван Сергеевич
92,Черкашин Павел Рудольфович
93,Андерсен Ганс Христиан
94,Лесина Екатерина Мечиславовна
95,Леви Марк
96,Пино Кристиан
97,Володарская Ольга Геннадьевна
98,Ругин Роман Прокопьевич
99,Токарева Виктория Самойловна
100,Семенов Юлиан Семенович
101,Тамоников Александр Александрович
102,Федоров Николай Федорович
103,Муравьева Ирина Лазаревна
104,Диккенс Чарльз Джон Хаффем
105,Метлицкая Мария
106,Толстой Алексей Николаевич
107,Ахманов Михаил Сергеевич
108,Андреева Наталья Вячеславовна
109,Довлатов Сергей Донатович
110,Брэдбери Рэй Дуглас
111,Несбе Ю
112,Булычев Кир
113,Мойес Джоджо
114,Вербинина Валерия
115,Звездная Елена
116,Островский Александр Николаевич
117,Роллинс Джеймс
118,Проханов Александр Андреевич
119,Степанова Татьяна Юрьевна
120,Джонс Диана Уинн
121,Тилье Франк
122,Верн Жюль Габриэль
123,Широкорад Александр Борисович
124,Мартин Джордж Рэймонд Ричард
125,Филатов Леонид Алексеевич
126,Берсенева Анна
127,Ремарк Эрих Мария
128,Гарсиа Маркес Габриель
129,Холостова Евдокия Ивановна
130,Остер Григорий Бенционович
131,Алексеев Сергей Петрович
132,Солнцева Наталья
133,Войнович Владимир Николаевич
134,Астафьев Виктор Петрович
135,Южина Маргарита Эдуардовна
136,Улицкая Людмила Евгеньевна
137,Алешин Леонид Ильич
138,Шекспир Уильям
139,Коуэлл Крессида
140,Мюссо Гийом
141,Астахов Павел Алексеевич
142,Зощенко Михаил Михайлович
143,Белянин Андрей Олегович
144,Логунова Елена Ивановна
145,Кунц Дин Рэй
146,Твен Марк
147,Хемингуэй Эрнест Миллер
148,Браун Дэн
149,Волгин Владислав Васильевич
150,Мазин Александр Владимирович
151,Брикер Мария Анатольевна
152,Тарасевич Ольга Ивановна
153,Паланик Чак
154,Зайцева Анна Анатольевна
155,Малкина-Пых Ирина Германовна
156,Пенни Луиза
157,Серегин Михаил Георгиевич
158,Паустовский Константин Георгиевич
159,Райс Луанн
160,Павич Милорад
161,Зверев Сергей Иванович
162,Трауб Маша
163,Ахерн Сесилия
164,Волков Сергей Юрьевич
165,Кундера Милан
166,Бердяев Николай Александрович
167,Гумилев Лев Николаевич
168,Васильев Борис Львович
169,Хантер Эрин
170,Бегбедер Фредерик
171,Лавкрафт Говард Филлипс
172,Шесталов Юван Николаевич
173,Макеев Алексей Викторович
174,Введенская Людмила Алексеевна
175,Семенова Мария Васильевна
176,Бенцони Жюльетта
177,Соломатина Татьяна Юрьевна
178,Дю Морье Дафна
179,Веллер Михаил Иосифович
180,Уайльд Оскар
181,Лонгортова Зинаида Викторовна
182,Александрова Наталья Николаевна
183,Щерба Наталья Васильевна
184,Купер Джеймс Фенимор
185,Матюшкина Екатерина Александровна
